cell_id,cell_type,base_cell_id,precursor_cell_id,modification,sample_type,primary_site,subtype,original_growth_pattern,provider_catalog_id,original_source_vendor,donor_age,donor_sex,donor_ethnicity,description,type_site
A375,cell line,A375,-666,-666,tumor,skin,malignant melanoma,adherent,CRL-1619,ATCC,54,F,-666,Malignant melanoma skin tumor cell line.,tumor_skin
A549,cell line,A549,-666,-666,tumor,lung,non small cell lung cancer| carcinoma,adherent,CCL-185,ATCC,58,M,Caucasian,Non-small cell lung cancer carcinoma in the lung.,tumor_lung
A673,cell line,A673,-666,-666,tumor,bone,ewing's sarcoma,adherent,CRL-1598,ATCC,-666,F,-666,Ewing's sarcoma bone tumor cell line.,tumor_bone
AGS,cell line,AGS,-666,-666,tumor,stomach,adenocarcinoma,adherent,CRL-1739,ATCC,54,F,Caucasian,Stomach adenocarcinoma tumor cell line.,tumor_stomach
BT20,cell line,BT20,-666,-666,tumor,breast,carcinoma,adherent,HTB-19,ATCC,74,F,Caucasian,Breast carcinoma cell line derived from a tumor.,tumor_breast
CL34,cell line,CL34,-666,-666,tumor,large intestine,colorectal adenocarcinoma,adherent,-666,DSMZ,-666,F,-666,Tumor cell line derived from colorectal adenocarcinoma of the large intestine.,tumor_large_intestine
CORL23,cell line,CORL23,-666,-666,tumor,lung,non small cell lung cancer| large cell carcinoma,adherent,92031919,ECACC,-666,M,-666,Non-small cell lung cancer line.,tumor_lung
COV644,cell line,COV644,-666,-666,tumor,ovary,carcinoma| epithelial-mucinous,adherent,-666,ECACC,-666,F,-666,Epithelial mucinous carcinoma of the ovary.,tumor_gynecologic
DV90,cell line,DV90,-666,-666,tumor,lung,non small cell lung cancer| adenocarcinoma,adherent,-666,DSMZ,-666,M,-666,Non small cell lung cancer adenocarcinoma cell line from the lung tumor.,tumor_lung
EFO27,cell line,EFO27,-666,-666,tumor,ovary,mucinous papillary adenocarcinoma,adherent,-666,DSMZ,-666,F,-666,Ovarian tumor cell line from mucinous papillary adenocarcinoma.,tumor_gynecologic
H1299,cell line,H1299,-666,-666,-666,lung,carcinoma,adherent,-666,-666,-666,-666,-666,Lung carcinoma cell line.,tumor_lung
HA1E,cell line,HA1E,-666,immortalized normal,normal,kidney,normal kidney,adherent,-666,-666,-666,-666,-666,The cell line is an immortalized normal kidney cell line.,normal_kidney
HCC15,cell line,HCC15,-666,-666,tumor,lung,non small cell lung cancer| squamous cell carcinoma,adherent,-666,DSMZ,-666,M,-666,Squamous cell carcinoma cell line derived from non-small cell lung cancer.,tumor_lung
