Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Apoptosis,0.8453231455130711,2.0473699051372782,0.0,0.0,0.0,94/161,6.99%,ERBB2;CTNNB1;TNF;BRCA1;CCND1;IL6;EREG;CASP3;MMP2;BAX;CDKN1A;PTK2;CD44;JUN;RELA;IL1B;TNFSF10;BCL2L1;ERBB3;HGF;CDK2;CDKN1B;CASP8;CASP9;APP;FAS;BCL2L11;MCL1;IL1A;CAV1;CREBBP;XIAP;BMP2;F2;CASP7;PAK1;FASLG;IFNB1;HMOX1;DDIT3;TOP2A;BID;TIMP1;LGALS3;PDGFRB;RARA;HSPB1;SOD2;SQSTM1;MGMT;IL18;BIRC3;SMAD7;TGFB2;PMAIP1;PDCD4;SOD1;DIABLO;ATF3;LEF1;PLAT;CFLAR;GADD45A;TIMP2;GPX4;ROCK1;CCND2;IRF1;WEE1;CASP1;BCL10;F2R;CD38;ANXA1;TXNIP;BTG2;CLU;CD14;CYLD;CASP2;KRT18;TIMP3;DCN;PSEN1;SATB1;RHOB;NEDD9;GSTM1;LMNA;CD69;DNM1L;BIK;BCAP31;LUM
prerank,PI3K/AKT/mTOR  Signaling,0.8261931246873547,1.9716328821650035,0.0,0.0,0.0,56/104,7.94%,AKT1;EGFR;MAPK1;PTEN;MAPK8;CDKN1A;GSK3B;E2F1;CDK4;CXCR4;CDK2;RAC1;CDK1;CDKN1B;SMAD2;IL4;RAF1;HRAS;PRKAA2;PTPN11;GRB2;PDK1;SLC2A1;MAP3K7;FASLG;DDIT3;PIN1;EIF4E;MAPK9;MYD88;RIPK1;NGF;SQSTM1;TSC2;TBK1;TNFRSF1A;CFL1;TRAF2;CALR;PAK4;TRIB3;PLCG1;LCK;RPS6KA1;SFN;ACACA;HSP90B1;ACTR2;UBE2N;CAB39;RPTOR;RALB;AKT1S1;ACTR3;RPS6KA3;STAT2
prerank,Allograft Rejection,0.80485279396203,1.9625525074516827,0.0,0.0,0.0,104/198,9.89%,AKT1;EGFR;TGFB1;TNF;BRCA1;IL6;EREG;HIF1A;MMP9;CD8A;IFNG;CD4;IL1B;CDKN2A;IL2;IL10;JAK2;FAS;STAT1;CCL2;IL4;HDAC9;CD40;IKBKB;F2;IL12B;MAP3K7;FASLG;ICAM1;CD28;NLRP3;NOS2;TLR2;CCL5;TIMP1;NPM1;IL15;ETS1;CD40LG;IL2RA;PTPRC;GZMB;IL7;IL18;CD80;TGFB2;LYN;CSF1;IL13;HLA-A;LIF;CCND2;BCL3;TRAF2;TLR3;CXCL13;CD79A;CD247;BCL10;F2R;CCND3;CXCR3;CXCL9;NME1;IL11;CD47;CD86;CCR2;CSK;SOCS1;CARTPT;SPI1;LCK;HLA-E;ZAP70;EIF3A;IL9;UBE2N;CCR5;IRF4;PRKCG;CTSS;HLA-G;CD74;CCL19;CCL4;CD3E;THY1;EIF5A;PTPN6;B2M;IL2RB;FLNA;IL4R;PRKCB;TPD52;IRF7;TLR6;CD96;BCAT1;RIPK2;ABI1;KLRD1;CCR1
prerank,TNF-alpha Signaling via NF-kB,0.7840596221694569,1.9154922025867194,0.0,0.0,0.0,97/198,8.39%,NFKB1;MYC;TNF;VEGFA;CCND1;IL6;CDKN1A;CD44;JUN;RELA;IL1B;NFE2L2;PTGS2;SMAD3;STAT5A;PLAU;FOS;MCL1;JUNB;CCL2;IL1A;NFKBIA;PLAUR;NR4A1;SERPINE1;CSF2;EGR1;KLF4;BMP2;IL12B;ICAM1;BCL6;CEBPB;AREG;TLR2;CCL5;CXCL10;F3;EDN1;SPHK1;CCN1;HBEGF;CXCL1;FOSL1;SOD2;SOCS3;SQSTM1;IL18;IL6ST;BIRC3;TNFRSF9;CD80;JAG1;TNC;CSF1;ATF3;CFLAR;GADD45A;NAMPT;LIF;IRF1;BCL3;HES1;ACKR3;BIRC2;F2RL1;FOSB;RELB;BTG2;IRS2;CCL20;TNFAIP3;NFKB2;IL23A;CXCL11;LDLR;ID2;SGK1;MAP3K8;RHOB;DUSP1;PTGER4;KLF6;ETS2;CD69;PFKFB3;REL;MXD1;CXCL2;ABCA1;IL7R;SDC4;BTG1;CCL4;CEBPD;PTX3;FUT4
prerank,IL-6/JAK/STAT3 Signaling,0.8025759537839178,1.910710526030264,0.0,0.0,0.0,49/87,8.90%,TGFB1;STAT3;TNF;IL6;CD44;JUN;IL1B;FAS;STAT1;CSF2;PTPN11;GRB2;BAK1;HMOX1;PTPN1;MYD88;TLR2;CXCL10;CBL;CXCL1;IL2RA;SOCS3;IL7;IL6ST;PIM1;CSF1;LEPR;TNFRSF1A;IRF1;CXCL13;CD38;CXCL9;INHBE;CD14;ITGB3;SOCS1;CXCL11;MAP3K8;IL17RB;TNFRSF1B;CD9;IL1R1;CRLF2;TYK2;ACVRL1;STAT2;IL17RA;TNFRSF12A;IL4R
prerank,TGF-beta Signaling,0.810687764964101,1.8936866062206417,0.0,0.0,0.0,35/54,11.21%,TGFB1;CTNNB1;CDH1;SMAD3;RHOA;JUNB;SERPINE1;APC;HDAC1;XIAP;BMP2;MAP3K7;TGFBR1;ID1;SMAD1;THBS1;SMAD7;TJP1;CDK9;ID2;CDKN1C;FURIN;ACVR1;NCOR2;BMPR2;WWTR1;BMPR1A;SMURF2;SMURF1;ENG;NOG;BCAR3;ID3;RAB31;HIPK2
prerank,Wnt-beta Catenin Signaling,0.8169731921825933,1.893415991139429,0.0,0.0,0.0,25/42,10.06%,TP53;CTNNB1;MYC;NOTCH1;SKP2;ADAM17;DKK1;JAG1;HDAC2;LEF1;AXIN1;WNT1;CUL1;CCND2;PTCH1;NUMB;AXIN2;PPARD;NCOR2;RBPJ;KAT2A;DVL2;NOTCH4;TCF7;HEY1
prerank,Notch Signaling,0.8112512567036276,1.8786467612057254,0.0,0.0,0.0,18/32,8.39%,CCND1;NOTCH1;PRKCA;WNT5A;NOTCH3;JAG1;CUL1;TCF7L2;HES1;SKP1;RBX1;NOTCH2;WNT2;PPARD;MAML2;ARRB1;FZD7;KAT2A
prerank,Epithelial Mesenchymal Transition,0.758572561689914,1.8352032499553166,0.0,0.0,0.0,94/197,9.69%,TGFB1;VEGFA;IL6;MMP2;VIM;CD44;JUN;CXCL8;CDH2;SNAI2;FN1;FGF2;ITGB1;CXCL12;FAS;SPP1;IGFBP3;PLAUR;SERPINE1;MMP14;BMP1;VEGFC;MMP1;BDNF;CCN2;PTHLH;WNT5A;AREG;TIMP1;SDC1;PDGFRB;IL15;CCN1;CXCL1;DKK1;IGFBP2;THBS1;MMP3;TNC;GADD45A;POSTN;ITGAV;LGALS1;NT5E;TNFRSF11B;GJA1;NOTCH2;LOX;SPARC;COL1A1;TNFAIP3;ITGB3;VCAM1;FAP;IL32;SFRP1;ID2;TIMP3;DCN;LRP1;RHOB;PVR;SLIT2;TGM2;ITGA5;IGFBP4;ITGA2;VCAN;MCM7;FOXC2;LAMC2;LUM;CTHRC1;ADAM12;SDC4;ENO2;CADM1;TGFBI;THY1;CDH11;FBN1;TGFBR3;LOXL2;PTX3;TNFRSF12A;ECM1;ANPEP;FSTL1;BGN;FLNA;ACTA2;LAMC1;COL3A1;SPOCK1
prerank,G2-M Checkpoint,0.7466732211048857,1.8297288902611943,0.0,0.0,0.0,123/199,15.16%,TGFB1;MYC;CCND1;HIF1A;EGF;MAPK14;ABL1;EZH2;BRCA2;E2F1;CDK4;SMAD3;CDK1;CDKN1B;PLK1;CHEK1;AURKA;CCNA2;TOP2A;EWSR1;BARD1;AURKB;PML;PTTG1;MYBL2;BIRC5;PRMT5;H2AX;CDC20;HMGA1;CUL3;CUL1;STMN1;UBE2C;BCL3;NCL;CDC25A;CTCF;PBK;E2F4;NOTCH2;MAD2L1;ODC1;HUS1;BUB1;XPO1;SRSF1;RBL1;TTK;TPX2;CDC6;E2F3;SLC7A5;MCM2;NOLC1;TOP1;TACC3;E2F2;H2BC12;MKI67;NEK2;KPNA2;NUP98;CDKN3;CUL4A;SS18;PRC1;HSPA8;CDC7;CDC45;NSD2;HMMR;RAD21;G3BP1;ATRX;FANCC;MCM6;SRSF2;PLK4;CCNB2;CENPF;DKC1;CENPA;MCM3;KIF2C;WRN;TFDP1;MEIS1;NDC80;ILF3;PDS5B;DMD;ESPL1;CDC25B;KNL1;RPA2;HNRNPD;SFPQ;MCM5;KIF15;SRSF10;KMT5A;H2AZ1;KIF23;SUV39H1;HMGB3;NUSAP1;EXO1;KIF11;RACGAP1;SLC7A1;DBF4;SQLE;KIF4A;MNAT1;PAFAH1B1;LMNB1;SNRPD1;TLE3;CCNT1;KIF5B;UBE2S;RPS6KA5
