disease,description,success
fungal infection of eye,"fungal infection of eye, a rare condition typically caused by fungal entry through injury or environmental exposure that results in symptoms such as pain, redness, blurred vision, and excessive tearing, and can lead to serious complications including permanent vision loss if not treated promptly.",True
sickle cell disease and related diseases,"sickle cell disease and related diseases, a group of inherited hemoglobin disorders that cause red blood cells to become misshapen and lead to various health complications.",True
X-linked adrenal hypoplasia congenita,"X-linked adrenal hypoplasia congenita, is a rare X-linked recessive disorder caused by mutations in the NR0B1 gene that disrupt adrenal gland development and hormone production, often resulting in primary adrenal insufficiency and hypogonadotropic hypogonadism.",True
hydroa vacciniforme,"hydroa vacciniforme, a rare photosensitivity disorder typically beginning in childhood, is characterized by painful, sun-induced vesicular skin lesions that heal with varioliform scarring and may be associated with Epstein-Barr virus infection.",True
obsolete bundle branch block,"obsolete bundle branch block, a condition marked by a delay or interruption in one of the heart's ventricular conduction pathways that produces widened, misshapen QRS complexes on an electrocardiogram.",True
acquired purpura fulminans,"acquired purpura fulminans, is a rapidly progressive, life-threatening thrombotic disorder that typically follows severe infections and is marked by disseminated intravascular coagulation causing widespread purpuric skin lesions and necrosis.",True
legionellosis,"legionellosis, a bacterial infection caused by Legionella species that can range from a mild flu-like illness (Pontiac fever) to a severe, potentially fatal pneumonia (Legionnaires' disease) contracted through inhaling contaminated water droplets.",True
intracranial embolism,"intracranial embolism, a blockage in a brain artery—often caused by a traveling blood clot, fat, or air bubble—that disrupts blood flow and can lead to stroke and related neurological symptoms.",True
nephritis,"nephritis, an inflammation of kidney tissues—including the glomeruli and tubules—that can alter urine function and potentially lead to kidney failure.",True
Huntington disease,"Huntington disease, a genetic neurodegenerative disorder marked by progressive motor, cognitive, and psychiatric decline due to the gradual loss of brain cells.",True
hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,"hypogonadotropic hypogonadism-frontoparietal alopecia syndrome, a genetic disorder characterized by hypogonadotropic hypogonadism combined with distinctive frontoparietal alopecia and sparse secondary hair.",True
preeclampsia,"preeclampsia, a pregnancy complication that typically develops after 20 weeks and is marked by high blood pressure, protein in the urine, and potential organ damage affecting both mother and baby.",True
Plasmodium malariae malaria,"Plasmodium malariae malaria, is a human parasitic infection caused by the Plasmodium malariae protozoan, which typically results in a generally benign malaria characterized by a quartan (every fourth day) fever cycle.",True
hyperprolactinemia (disease),"hyperprolactinemia (disease), a condition characterized by abnormally high levels of prolactin in the blood, often caused by pituitary tumors, hypothyroidism, or certain medications, leading to reproductive and other health issues.",True
acute erythroid leukemia,"acute erythroid leukemia, a rare subtype of acute myeloid leukemia characterized by a predominant erythroid proliferation, frequent TP53 mutations, pancytopenia, and poor clinical outcomes.",True
vasomotor rhinitis,"vasomotor rhinitis, a nonallergic inflammation of the nasal tissues that causes sneezing, congestion, and a runny nose in response to various triggers such as irritants, weather changes, or hormonal factors.",True
twin reversal arterial perfusion syndrome,"twin reversal arterial perfusion syndrome, a rare complication of monochorionic twin pregnancies in which one normally developed twin pumps blood via reversed arterial flow to sustain its malformed, nonfunctional co-twin.",True
skin disease,"skin disease, a condition affecting the integumentary system that can manifest as a range of symptoms—from acne and rashes to chronic inflammatory lesions and infections—necessitating accurate diagnosis and tailored treatment.",True
ovarian cancer,"ovarian cancer, a malignant tumor originating in the ovaries that rapidly multiplies and can invade healthy tissues, often requiring treatments such as surgery and chemotherapy.",True
familial hyperlipidemia,"familial hyperlipidemia, an inherited disorder that causes abnormally high levels of cholesterol and triglycerides in the blood, significantly increasing the risk of premature cardiovascular events if not detected and managed early.",True
X-linked intellectual disability with isolated growth hormone deficiency,"X-linked intellectual disability with isolated growth hormone deficiency, is a rare X-linked recessive disorder characterized by early-onset intellectual impairment and isolated growth hormone deficiency leading to short stature without other significant endocrine abnormalities.",True
keloid,"keloid, a condition characterized by an excessive deposition of collagen leading to raised, thick, and irregular scars that extend beyond the original wound boundaries.",True
staphylococcus aureus infection,"staphylococcus aureus infection, a bacterial illness caused by Staphylococcus aureus that can range from minor skin issues to serious systemic complications, including antibiotic-resistant strains like MRSA.",True
corneal deposit,"corneal deposit, an ocular condition marked by the accumulation of substances within the corneal layers—often from medications, systemic diseases, or metabolic disorders—that may lead to opacities and visual impairment.",True
Escherichia coli meningitis,"Escherichia coli meningitis, is a severe central nervous system infection primarily affecting neonates, caused by E. coli bacteria invading the meninges and often linked to significant morbidity, mortality, and emerging antibiotic resistance.",True
