mesh_id,label,tree_numbers,tree_categories,n_articles,annotation,scope_note,chunk_number,sorted_tree_categories,first_tree_category
D000785,"Aneurysm, Infected","['C01.069', 'C14.907.055.131']","['C01', 'C14']",8740,"coordinate IM with specific bacteria or fungal infection (IM); note entry termsANEURYSM, BACTERIAL, andANEURYSM, MYCOTIC: do not coordinate withBACTERIAL INFECTIONSorMYCOSESif the specific bacterium or fungus is not specified,","Aneurysm due to growth of microorganisms in the arterial wall, or infection arising within preexisting arteriosclerotic aneurysms.",1,"['C14', 'C01']",C14
D016918,"Arthritis, Reactive","['C01.100.500', 'C05.116.900.853.625.800.637', 'C05.550.114.099.500', 'C05.550.114.865.800.637', 'C23.550.291.500.829.125']","['C01', 'C05', 'C23']",11631,coordinate with specific infection or organism/infection precoordinate,"An aseptic, inflammatory arthritis developing secondary to a primary extra-articular infection, most typically of theGASTROINTESTINAL TRACTorUROGENITAL SYSTEM. The initiating trigger pathogens are usuallySHIGELLA;SALMONELLA;YERSINIA;CAMPYLOBACTER; orCHLAMYDIA TRACHOMATIS. Reactive arthritis is strongly associated withHLA-B27 ANTIGEN.",1,"['C05', 'C23', 'C01']",C05
D058345,Asymptomatic Infections,"['C01.125', 'C23.550.291.187.500']","['C01', 'C23']",7281,,Infections that do not exhibit symptoms.,1,"['C01', 'C23']",C01
D006483,Hemorrhagic Septicemia,"['C01.150.252.100.375', 'C01.150.252.400.700.662.500', 'C01.757.100.375', 'C23.550.470.790.500.100.375']","['C01', 'C23']",1207,coord (IM) withPASTEURELLA MULTOCIDA(IM) or specific organism /infection term (IM) if pertinent,"Any of several bacterial diseases, usually caused byPASTEURELLA MULTOCIDA, marked by the presence of hemorrhagic areas in the subcutaneous tissues, serous membranes, muscles, lymph glands, and throughout the internal organs. The diseases primarily affect animals and rarely humans.",1,"['C23', 'C01']",C23
D020852,Lyme Neuroborreliosis,"['C01.150.252.223.437', 'C01.150.252.400.536.700', 'C01.150.252.400.794.352.250.700', 'C01.207.180.437', 'C01.920.930.513.700', 'C10.228.228.180.437']","['C01', 'C10']",3136,coord IM with Borrelia (IM) + specific site/dis term (IM) if pertinent,"Nervous system infections caused by tick-borne spirochetes of theBORRELIA BURGDORFERI GROUP. The disease may affect elements of the central or peripheral nervous system in isolation or in combination. Common clinical manifestations include a lymphocytic meningitis, cranial neuropathy (most often a facial neuropathy),POLYRADICULOPATHY, and a mild loss of memory and other cognitive functions. Less often more extensive inflammation involving the central nervous system (encephalomyelitis) may occur. In the peripheral nervous system, B. burgdorferi infection is associated with mononeuritis multiplex and polyradiculoneuritis. (From J Neurol Sci 1998 Jan 8;153(2):182-91)",1,"['C10', 'C01']",C10
D008583,"Meningitis, Haemophilus","['C01.150.252.223.500.425', 'C01.150.252.400.700.433.615', 'C01.207.180.500.425', 'C10.228.228.180.500.425', 'C10.586.625.280.393']","['C01', 'C10']",3335,coordinate IM with Haemophilus species (IM) if available,"Infections of the nervous system caused by bacteria of the genusHAEMOPHILUS, and marked by prominent inflammation of the MENINGES. HAEMOPHILUS INFLUENZAE TYPE B is the most common causative organism. The condition primarily affects children under 6 years of age but may occur in adults.",1,"['C10', 'C01']",C10
D008584,"Meningitis, Listeria","['C01.150.252.223.500.500', 'C01.150.252.410.514.533', 'C01.207.180.500.500', 'C10.228.228.180.500.500', 'C10.586.625.280.449']","['C01', 'C10']",1890,do not coord withLISTERIA MONOCYTOGENESunless organism is particularly discussed,"Inflammation of the meninges caused byLISTERIA MONOCYTOGENESinfection, usually occurring in individuals under the age of 3 years or over the age of 50 years. It may occur at any age in individuals withIMMUNOLOGIC DEFICIENCY SYNDROMES. Clinical manifestations includeFEVER, altered mentation,HEADACHE, meningeal signs, focal neurologic signs, andSEIZURES. (From Medicine 1998 Sep;77(5):313-36)",1,"['C10', 'C01']",C10
D014884,Waterhouse-Friderichsen Syndrome,"['C01.150.252.223.500.750.500', 'C01.150.252.400.625.549.449.800', 'C01.207.180.500.750.500', 'C10.228.228.180.500.750.500', 'C10.586.625.280.505.904', 'C15.378.100.802.843', 'C15.378.463.950', 'C19.053.500.740', 'C23.550.414.950.843', 'C23.888.885.687.843']","['C01', 'C10', 'C15', 'C19', 'C23']",1949,"do not coordinate withNEISSERIA MENINGITIDISunless particularly discussed; if caused by another organism, coordinate IM with precoordinated organism/infection term (IM)",A condition ofHEMORRHAGEandNECROSISof theADRENAL GLAND. It is characterized by rapidly developingADRENAL INSUFFICIENCY;HYPOTENSION; and widespread cutaneousPURPURA.,1,"['C23', 'C10', 'C01', 'C15', 'C19']",C23
D008586,"Meningitis, Pneumococcal","['C01.150.252.223.500.875', 'C01.150.252.410.890.670.595', 'C01.207.180.500.875', 'C10.228.228.180.500.875', 'C10.586.625.280.560']","['C01', 'C10']",11345,do not coordinate withSTREPTOCOCCUS PNEUMONIAEunless organism is particularly discussed,"An acute purulent infection of the meninges and subarachnoid space caused by Streptococcus pneumoniae, most prevalent in children and adults over the age of 60. This illness may be associated withOTITIS MEDIA;MASTOIDITIS;SINUSITIS;RESPIRATORY TRACT INFECTIONS; sickle cell disease (ANEMIA, SICKLE CELL); skull fractures; and other disorders. Clinical manifestations includeFEVER;HEADACHE; neck stiffness; and somnolence followed bySEIZURES; focal neurologic deficits (notablyDEAFNESS); andCOMA. (From Miller et al., Merritt's Textbook of Neurology, 9th ed, p111)",1,"['C10', 'C01']",C10
D014390,"Tuberculosis, Meningeal","['C01.150.252.223.500.937', 'C01.150.252.223.850.800', 'C01.150.252.410.040.552.846.617.200.600', 'C01.207.180.500.937', 'C01.207.180.850.800', 'C10.228.228.180.500.937', 'C10.228.228.180.850.800', 'C10.586.625.280.915']","['C01', 'C10']",75113,,"A form of bacterial meningitis caused byMYCOBACTERIUM TUBERCULOSISor rarelyMYCOBACTERIUM BOVIS. The organism seeds the meninges and forms microtuberculomas which subsequently rupture. The clinical course tends to be subacute, with progressions occurring over a period of several days or longer. Headache and meningeal irritation may be followed bySEIZURES, cranial neuropathies, focal neurologic deficits, somnolence, and eventuallyCOMA. The illness may occur in immunocompetent individuals or as anOPPORTUNISTIC INFECTIONin theACQUIRED IMMUNODEFICIENCY SYNDROMEand other immunodeficiency syndromes. (From Adams et al., Principles of Neurology, 6th ed, pp717-9)",1,"['C10', 'C01']",C10
